,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
66,11,1.1,5,5,10,14,11,13,10,13,11,14,10,11,10,13,9,10,0,0,0,0,0,0,3.0,5.6,0.9472552910052909,0.112,1,5.6,0.9472552910052909,0.112,3.0,51,59713643048,50,150.8041112422943,150.8041112422943,0.00033092498779296875
67,11,1.1,5,5,11,12,12,14,11,12,9,12,10,11,0,0,0,0,0,0,0,0,0,0,1.2,3.2,0.9414629629629628,0.064,1,3.2,0.9414629629629628,0.064,1.2,52,59713643048,50,90.58067679405212,90.58067679405212,0.0003399848937988281
68,11,1.1,5,5,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003314018249511719
69,11,1.1,5,5,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.0003218650817871094
70,12,1.2,5,5,11,12,12,14,12,14,11,14,9,10,10,11,0,0,0,0,0,0,0,0,3.0,3.2,0.9365586419753086,0.064,1,3.2,0.9365586419753086,0.064,3.0,39,59713643048,50,114.01050400733948,114.01050400733948,0.0003228187561035156
71,12,1.2,5,5,11,12,12,14,12,14,11,14,9,10,10,11,0,0,0,0,0,0,0,0,3.0,3.2,0.9365586419753086,0.064,1,3.2,0.9365586419753086,0.064,3.0,39,59713643048,50,114.01050400733948,114.01050400733948,0.00032520294189453125
72,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003228187561035156
73,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003235340118408203
74,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003204345703125
75,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.00032258033752441406
76,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003266334533691406
77,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.0003228187561035156
78,11,1.1,5,6,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003299713134765625
79,11,1.1,5,6,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.00032329559326171875
80,12,1.2,5,6,11,12,12,14,12,14,11,14,9,10,10,11,0,0,0,0,0,0,0,0,3.0,3.2,0.9365586419753086,0.064,1,3.2,0.9365586419753086,0.064,3.0,39,59713643048,50,114.01050400733948,114.01050400733948,0.0003228187561035156
81,11,1.1,5,6,11,12,12,14,11,12,9,12,10,11,0,0,0,0,0,0,0,0,0,0,1.2,3.2,0.9414629629629628,0.064,1,3.2,0.9414629629629628,0.064,1.2,52,59713643048,50,90.58067679405212,90.58067679405212,0.0003228187561035156
82,11,1.1,5,6,10,12,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.8,0.9016005291005289,0.076,1,3.8,0.9016005291005289,0.076,3.0,53,59713643048,50,184.47359156608582,184.47359156608582,0.0003254413604736328
83,11,1.1,5,6,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.000324249267578125
84,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.0003826618194580078
85,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,10,11,0,0,0,0,0,0,2.4,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,2.4,54,59713643048,50,170.6808955669403,170.6808955669403,0.00032067298889160156
86,11,1.1,5,7,10,11,11,12,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0,0,1.2,2.4,0.9264999999999999,0.048,1,2.4,0.9264999999999999,0.048,1.2,55,59713643048,50,101.22649264335632,101.22649264335632,0.0003154277801513672
87,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003821849822998047
88,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.000331878662109375
89,10,1.0,5,7,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,2.4,3.6,0.9577777777777775,0.072,1,3.6,0.9577777777777775,0.072,2.4,56,59713643048,50,128.4133448600769,128.4133448600769,0.00032973289489746094
90,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.0003266334533691406
91,11,1.1,5,7,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.000324249267578125
92,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,10,11,0,0,0,0,0,0,0,0,1.6,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,1.6,50,59713643048,50,146.07183003425598,146.07183003425598,0.00031828880310058594
93,11,1.1,5,7,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.0003180503845214844
94,11,1.1,5,7,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.00031685829162597656
95,11,1.1,5,7,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.00032258033752441406
96,11,1.1,5,8,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.0003261566162109375
97,11,1.1,5,8,10,11,11,12,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0,0,1.2,2.4,0.9264999999999999,0.048,1,2.4,0.9264999999999999,0.048,1.2,55,59713643048,50,101.22649264335632,101.22649264335632,0.00033211708068847656
