robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,num_delivery_rate,utilization_rate,num_risk
9.0,10.0,11.0,12.0,11.0,12.0,12.0,13.0,10.0,13.0,11.0,12.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.2,0.9514616402116403,7.8
12.0,14.0,11.0,14.0,11.0,14.0,11.0,14.0,12.0,14.0,9.0,11.0,9.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,8.5,0.308,0.9525231481481481,10.8
10.0,12.0,12.0,13.0,11.0,14.0,10.0,14.0,12.0,14.0,10.0,14.0,12.0,13.0,10.0,14.0,9.0,10.0,12.0,14.0,15.1,0.472,0.9631944444444442,18.6
11.0,12.0,9.0,11.0,9.0,13.0,11.0,14.0,9.0,10.0,9.0,13.0,9.0,12.0,12.0,14.0,9.0,11.0,0.0,0.0,12.5,0.416,0.9660082304526748,19.6
9.0,10.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,11.0,0.0,0.0,13.1,0.416,0.9538040123456789,16.0
9.0,13.0,9.0,11.0,10.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.108,0.9425520833333332,4.4
11.0,12.0,9.0,12.0,9.0,13.0,9.0,13.0,9.0,13.0,9.0,13.0,11.0,14.0,9.0,11.0,11.0,13.0,9.0,12.0,6.0,0.472,0.9640671296296295,19.6
9.0,10.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,12.0,13.0,9.0,11.0,0.0,0.0,13.1,0.416,0.9538040123456789,16.2
11.0,14.0,11.0,14.0,10.0,13.0,9.0,13.0,9.0,11.0,12.0,14.0,9.0,10.0,11.0,14.0,0.0,0.0,0.0,0.0,19.5,0.42,0.9524131944444444,16.8
9.0,12.0,9.0,12.0,10.0,13.0,11.0,13.0,12.0,14.0,9.0,10.0,12.0,13.0,12.0,13.0,10.0,13.0,12.0,13.0,15.5,0.396,0.965185185185185,18.4
9.0,10.0,9.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,0.0,11.8,0.416,0.9693132716049383,15.6
10.0,11.0,9.0,11.0,9.0,13.0,9.0,12.0,9.0,10.0,9.0,13.0,9.0,12.0,12.0,14.0,9.0,11.0,0.0,0.0,12.4,0.42,0.9726363168724278,18.2
9.0,10.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,11.0,0.0,0.0,11.9,0.416,0.9687654320987653,16.6
11.0,14.0,10.0,12.0,11.0,12.0,11.0,12.0,9.0,10.0,9.0,10.0,12.0,14.0,11.0,13.0,0.0,0.0,0.0,0.0,2.7,0.144,0.9211516203703702,5.0
9.0,11.0,9.0,13.0,12.0,14.0,10.0,13.0,9.0,13.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.356,0.9796797839506173,11.6
9.0,12.0,9.0,11.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,9.0,13.0,0.0,0.0,0.0,0.0,15.3,0.432,0.9760706018518518,18.6
9.0,10.0,9.0,12.0,11.0,14.0,9.0,12.0,9.0,12.0,10.0,14.0,9.0,10.0,9.0,12.0,0.0,0.0,0.0,0.0,3.4,0.268,0.9714207175925925,9.4
10.0,14.0,12.0,13.0,10.0,11.0,12.0,14.0,9.0,13.0,11.0,13.0,10.0,12.0,10.0,14.0,10.0,14.0,0.0,0.0,15.1,0.468,0.9642746913580245,22.0
11.0,12.0,9.0,11.0,9.0,13.0,12.0,14.0,9.0,10.0,9.0,13.0,9.0,12.0,12.0,14.0,9.0,12.0,0.0,0.0,12.5,0.416,0.9647608024691358,19.6
9.0,10.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,12.0,13.0,9.0,11.0,0.0,0.0,11.9,0.416,0.9687654320987653,15.6
12.0,13.0,12.0,13.0,10.0,11.0,10.0,11.0,9.0,10.0,11.0,12.0,12.0,14.0,12.0,14.0,11.0,12.0,0.0,0.0,5.0,0.16,0.9415123456790122,7.2
10.0,13.0,12.0,13.0,10.0,12.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,10.0,14.0,10.0,14.0,0.0,0.0,15.1,0.472,0.970048868312757,19.6
9.0,10.0,9.0,11.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,0.0,11.8,0.392,0.9631841563786006,17.4
10.0,13.0,10.0,12.0,11.0,13.0,10.0,14.0,9.0,13.0,9.0,10.0,10.0,13.0,9.0,12.0,10.0,11.0,0.0,0.0,9.1,0.4,0.965432098765432,13.6
9.0,10.0,11.0,13.0,11.0,13.0,12.0,13.0,10.0,13.0,11.0,12.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.24,0.9558994708994708,7.4
9.0,10.0,10.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,0.0,11.8,0.392,0.9648739711934154,14.4
11.0,13.0,12.0,13.0,11.0,13.0,11.0,13.0,12.0,14.0,9.0,11.0,10.0,14.0,12.0,14.0,12.0,14.0,11.0,14.0,19.0,0.44,0.9555717592592592,18.0
12.0,14.0,12.0,14.0,10.0,13.0,12.0,14.0,9.0,13.0,10.0,11.0,9.0,10.0,11.0,13.0,12.0,14.0,0.0,0.0,1.2,0.152,0.9373868312757201,3.6
11.0,12.0,9.0,11.0,11.0,13.0,10.0,14.0,10.0,14.0,9.0,13.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.364,0.9682242063492063,14.8
10.0,13.0,12.0,13.0,10.0,12.0,12.0,13.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,14.0,0.0,0.0,15.1,0.436,0.9741383744855967,16.0
10.0,12.0,12.0,13.0,11.0,14.0,10.0,14.0,12.0,14.0,10.0,14.0,12.0,13.0,10.0,14.0,9.0,10.0,12.0,14.0,15.1,0.472,0.9631944444444442,18.6
11.0,12.0,10.0,11.0,9.0,10.0,10.0,12.0,9.0,11.0,12.0,14.0,12.0,14.0,10.0,14.0,0.0,0.0,0.0,0.0,2.6,0.168,0.947829861111111,4.8
11.0,14.0,12.0,14.0,10.0,11.0,12.0,14.0,10.0,14.0,10.0,11.0,11.0,13.0,12.0,14.0,10.0,11.0,10.0,14.0,14.2,0.424,0.9495856481481478,23.4
12.0,13.0,9.0,12.0,12.0,14.0,10.0,12.0,10.0,11.0,12.0,14.0,12.0,14.0,10.0,11.0,11.0,14.0,0.0,0.0,19.6,0.34,0.9522273662551439,13.4
10.0,12.0,9.0,13.0,12.0,14.0,10.0,13.0,12.0,14.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.316,0.9755787037037035,11.4
9.0,10.0,9.0,11.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,11.0,0.0,0.0,11.8,0.392,0.9631841563786006,19.0
